Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base set,,,,,,,,
,"Ornn, Blacksmith",058a/221,Alternate art,Showcase · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e0621bba6475425d93191677b2b120c07a8efe20-744x1039.png,
,"Ornn, Blacksmith",058/221,Regular,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/77b48a28f48f26714f4bcf860379945a2d7186aa-744x1039.png,
,Svellsongur,059/221,Regular,Epic · Gear · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/bc254398dfb5db217327b56862011a2fd6020789-744x1039.png,
,Tianna Crownguard,060/221,Regular,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2a1876aeedae7310409d0eaaf453507188b0c82b-744x1039.png,
,Aspiring Engineer,061/221,Regular,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5d61995ae384bcee56838beb0eb6d83bf5faefad-744x1039.png,
,Aspiring Engineer,061/221,Foil,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5d61995ae384bcee56838beb0eb6d83bf5faefad-744x1039.png,
,Bubble Bot,062/221,Regular,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c0fe9df24ae4b8a5b4fb8276b1bd6c5a5f5f7b2b-744x1039.png,
,Bubble Bot,062/221,Foil,Common · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c0fe9df24ae4b8a5b4fb8276b1bd6c5a5f5f7b2b-744x1039.png,
,Chemtech Cask,063/221,Regular,Common · Gear · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/39071feea6d3739a834a83b1841f496bdfc3a59a-744x1039.png,
,Chemtech Cask,063/221,Foil,Common · Gear · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/39071feea6d3739a834a83b1841f496bdfc3a59a-744x1039.png,
,Cloth Armor,064/221,Regular,Common · Gear · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fe02bf01609ff2e6cc6fa8fbd578fd596ab5cb84-744x1039.png,
,Cloth Armor,064/221,Foil,Common · Gear · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fe02bf01609ff2e6cc6fa8fbd578fd596ab5cb84-744x1039.png,
