Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base set,,,,,,,,
,Covert Informant,057/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ff33454bf980a5c884b63e524c6580408e9b94e3-744x1039.png,
,Patched Porobot,058/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7667d7e0c902782c38221e9326d1bb98181ec17f-744x1039.png,
,Shock Blast,059/166,Regular,Uncommon · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a8b976725e4722dcbf327cde9f92625cb516150e-744x1039.png,
,Sky Cruiser,060/166,Regular,Uncommon · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4a99fbe995f6d5d71c1c46e1c38f64a9f9d7c3e9-744x1039.png,
,Decree of Insight,061/166,Regular,Rare · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/da019355562b207814be6aec55bccf415bd416df-744x1039.png,
,Hextech Formula,062/166,Regular,Rare · Gear · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/95f4ee0625dda4213847e6649465397be03c8bd1-744x1039.png,
,"Nasus, Guardian of Knowledge",063/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/aa96dbb8b4d72db7e47a72ce652ad542f55bf31d-744x1039.png,
,"Nasus, Guardian of Knowledge",063a/166,Alternate art,Rare · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c6bfe2146a52c3d8dd0230904435369ff29bac0e-744x1039.png,
,Plaza Guardian,064/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3fc86ed4d23604dbb3c7de211eb6a9c36bd9176d-744x1039.png,
,"Swain, Visionary",065/166,Regular,Rare · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/66d8ec4322d6734719451bb3e004b7d2ec71af87-744x1039.png,
,Temporal Breach,066/166,Regular,Rare · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7c670dc3d997c52b90d67043989b53c67a72f4c4-744x1039.png,
,Bottled Constellation,067/166,Regular,Epic · Gear · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2068b7c202cab7f877c331a7bad0531d6a8f0d73-744x1039.png,
,"Jayce, Brilliant Inventor",068a/166,Alternate art,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/77439053c7f0cb76ff470d7ecaa57871448b1faf-744x1039.png,
,"Jayce, Brilliant Inventor",068/166,Regular,Epic · Unit · Official Card Gallery,,0,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/123e949085a63fdb6e1590ff0e519cab5758688b-744x1039.png,
,"Mel, Newly Awakened",069/166,Regular,Epic · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7d794234d8efef9ad647046d1e2cd3736441899f-744x1039.png,
,"Mel, Newly Awakened",069a/166,Alternate art,Epic · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2781dd135b5f42527df3bacee59ccee8684236fa-744x1039.png,
,Brutal Hunter,070/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/54122304a3bb1f989faf124cb74fd7d41b029681-744x1039.png,
,Fretful Feline,071/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/24370c9e33705b393c40f426e221ae851a65dd05-744x1039.png,
,Guttural Roar,072/166,Regular,Common · Spell · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/891f0f85b039b16593865c74b90b0640a312e59b-744x1039.png,
,Jagged Cutlass,073/166,Regular,Common · Gear · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/22aae23e1ac1797beb50f3f735becfe65b51ee02-744x1039.png,
,Legion Marauder,074/166,Regular,Common · Unit · Official Card Gallery,,1,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ec9e813e58c9ba96f37e78f09faaaa184ecdad-744x1039.png,
